"%s was successfully added to your shopping cart.","%s fue agregado al carrito"
"&laquo; Back to Billing Information","&laquo; Regresar a información de pago"
"&laquo; Back to Select Addresses","&laquo; Regresar a seleccionar dirección"
"&laquo; Back to Shopping Cart","&laquo; Regresar al Carrito"
"* Required Fields","* Campos obligatorios"
"Add New Address","Agregar Nueva Dirección"
"Add New Condition","Agregar Nueva Condición"
"Add to Cart","Agregar al Carrito"
"Add to Compare","Agregar a Comparar"
"Add to Wishlist","Agregara a Lista de Deseos"
"Address","Dirección"
"Address %s of %s","Dirección %s de %s"
"After adding a product redirect to shopping cart","Regresar a carrito después de agregar producto"
"Allow Guest Checkout","Permitir finalizar compra como visitante"
"Already registered?","¿Ya tienes cuenta?"
"An error occurred in the process of payment","Ocurrió un error al pagar"
"Apply Coupon","Usar cupon"
"Are you sure you would like to remove this item from the shopping cart?","¿Deseas eliminar este producto del carrito?"
"Back","Regresar"
"Back to Shipping Information","Regresar a Información de Envío"
"Based on your selection, you may be interested in the following items:","Te sugerimos estos productos:"
"Billing Address","Dirección de Pago"
"Billing Information","Información de Pago"
"Billing Information - %s","Información de Pago - %s"
"Can not add item to shopping cart","No se pudo agregar al carrito"
"Can not apply coupon code.","No se pudo aplicar el cupón."
"Can't open overview page","No se puede abrir la página de resumen"
"Cancel Coupon","Cancelar Cupón"
"Cannot remove item","No fue posible eliminar el producto"
"Cannot update shopping cart","No fue posible actualizar el carrito"
"Card Verification Number Visual Reference","Referencia Visual de Número de Verificación de Tarjeta"
"Cart Subtotal:","Subtotal de carrito:"
"Change","Modificar"
"Change Billing Address","Cambiar dirección de pago"
"Checkbox text","Texto de caja de selección"
"Checkout","Finalizar compra"
"Checkout Conditions","Condiciones para finalizar compra"
"Checkout Options","Opciones de finalización de compra"
"Checkout Section","Sección de finalización de compra"
"Checkout Terms and Conditions","Térmimos y Condiciones para finalizar compra"
"Checkout as Guest","Finalizar compra como visitante"
"Checkout as a Guest or Register","Finalizar compra como visitante o regístrate"
"Checkout method","Método de Finalización de Compra"
"Checkout with Multiple Addresses","Finalizar compra con Múltiples Direcciones"
"City","Ciudad"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">aquì para imprimir</a> una copia $
"Close","Cerrar"
"Company","Empresa"
"Condition Name","Nombre de Condición"
"Condition was successfully deleted","Condición Eliminada"
"Condition was successfully saved","Condición Guardada"
"Configurable product image","Imagen de Producto configurable"
"Confirm Password","Confirmar Contraseña"
"Content","Contenido"
"Name & Address", "Nombre y Dirección"
"LOGIN HERE", "Acesse aqui"
"Fill in the Fields below to complete your purchase!", "Preencha os campos abaixo para concluir sua compra!"
"Sign Up for Newsletter","Registrar en boletín"
"Create an account for later use", "Crea una cuenta para uso posterior"
"Login to your Account", "Entra a tu cuenta"
"Forgot Your Password?", "¿Olvidaste tu contraseña?"
"Submit","Enviar"
"Close","Cerrar"
"Cancel","Cancelar"
"Review Your Order","Resumen de Pedido"
"Name on Card","Nombre en Tarjeta",
"Credit Card Number","Número de Tarjeta"
"Expiration Date","Fecha de Expiración"
"Card Verification Number","Código de Verificación"
"Place Order Now","Crear Pedido"
"Enter your coupon code:", "Ingresa tu cupón"
"Create an account for later use","Crear cuenta"
