# of Use,# de Uso
%1$s incl tax.,%1$s incl imp.
%s - %s,%s - %s
%s Item(s),%s Artículo(s)
%s and above,%s y superior
%s-%s of %s,%s-%s of %s
(%d),(%d)
(Copy data from: %s),(Copiar datos de: %s)
* Required Fields,* Campos requeridos
-- Please Select --,-- Por favor Selecciona--
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","Por defecto, 86400 no está definido. Para refrescar instantaneamente, Vacía el caché de salida de los bloques HTML"
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Advertencia!</strong> Aplicar MAP por defecto, esconderá todos los precios de los productos de la vista de usuario."
A group with the same name already exists.,Ya existe un grupo con el mismo nombre. 
A name is required,Se requiere un nombre
A product type is not defined for the indexer.,Un tipo de producto no está definido para el indexador.
ALL GROUPS,TODOS LOS GRUPOS
AM,AM
Action,Acción
Actual Price,Precio Actual
Add,Agregar
Add Attribute,Agregar Atributo
Add Design Change,Agregar Cambio de Diseño
Add Group,Agregar Grupo
Add Group Price,Agregar Precio de Grupo
Add New,Agregar Nuevo
Add New Attribute,Agregar Nuevo Atributo
Add New Attribute Set,Agregar Nuevo Conjunto de Atributos
Add New Group,Agregar Nuevo Grupo
Add New Images,Agregar Nuevas Imagenes
Add New Option,Agregar Nueva Opción
Add New Row,Agregar Nueva Fila
Add New Search Term,Agregar Nuevo Termino de Busqueda
Add New Set,Agregar Nuevo Conjunto  
Add Product,Agregar Producto
Add Product To Websites,Agregar Producto a Sitios Web
Add Root Category,Agregar Categoía Raíz
Add Subcategory,Agregar Subcategoría
Add Tax,Agregar Impuestos
Add Tier,Agregar Fila
Add attribute into attribute set,Agregar atributo dentro de conjunto de atributos
Add group into attribute set,Agregar grupo dentro de conjunto de atributos
Add new custom option into product,Agregar nueva opción personalizada dentro de producto
Add new values into custom option,Agregar nuevos valores dentro de opciones personalizadas
Add option,Agregar opción
Add to Cart,Agregar a carrito
Add to Compare,Agregar a comparar
Add to Wishlist,Agregar a Lista de Deseos
Additional Information,Información Adicional
Alert Urls,Alerta Urls
All,Todos  
All Product Types,Todos los tipos de productos
All Websites,Todos los SitiosWeb
All products,Todos los productos
"All products - recently added products, New products - products marked as new","Todos los productos - productos recientemente añadidos, Nuevos productos - productos marcados como nuevos"
All products of this set will be deleted! Are you sure you want to delete this attribute set?,Todos los productos de este conjunto serán eliminados! ¿Estás seguro de que quieres eliminar este conjunto de atributos?
Allow All Products per Page,Permitir todos los productos por página
Allow Dynamic Media URLs in Products and Categories,Permitir URLs Dinamicas en Productos y Categorías
Allow HTML Tags on Frontend,Permitir etiquetas HTML en interfaz de usuario
Allowed File Extensions,Extenciones de archivos Permitidas
Allowed file extensions to upload,Extenciones de archivos Permitidas para subir
An error occurred while adding products to websites.,Ocurrió un error mientras se añadia productos a los sitios web
An error occurred while clearing comparison list.,Ocurrió un error mientras se vaciaba la lista de comparación
An error occurred while deleting this review.,Ocurrió un error mientras se eliminaba esta revisión
An error occurred while removing products from websites.,Ocurrió un error mientras se descartaba productos de los sitios web
An error occurred while saving the URL rewrite,Ocurrió un error mientras se guardaba la sobreescritura de la URL
An error occurred while saving the attribute set.,Ocurrió un error mientras se guardaba el conjunto de atributos.
"An error occurred while saving the collection, aborting. Error message: %s","Ocurrió un error mientras se guardaba la colección, abortar. Mensaje de error: %s"
An error occurred while saving the product. ,Ocurrió un error mientras se guardaba el producto.
An error occurred while saving the search query.,Ocurrió un error mientras se guardaba la consulta.
An error occurred while saving this group.,Ocurrió un error mientras se guardaba este grupo.
An error occurred while saving this review.,Ocurrió un error mientras se guardaba esta revisión.
An error occurred while trying to delete the category.,Ocurrió un error mientras se trataba de eliminar la categoría. 
An error occurred while updating the product(s) attributes.,Ocurrió un error mientras se actualizaban los atributos de(los) producto(s)
An error occurred while updating the product(s) status.,Ocurrió un error mientras se actulizaba el estatus de(los) productos(s)
"An invalid group ID is specified, skipping the record.","Un ID de grupo, invalido fue especificado, saltar registro. "
"An invalid option ID is specified for %s (%s), skipping the record.","Una opcion de ID invalida fue especificada para %s (%s), saltar el registro."
An invalid store was specified.,Una tienda invalida fue especificada. 
Anchor Custom Text,Ancla de texto personalizada
Anchor Custom Title,Título de ancla personalizado
Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.,Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.
Apply MAP (Default Value),Aplicar MAP (Valor por defecto)
Apply To,Aplicar a
Approved,Aprovado
Are you sure you want to delete this category?,¿Estás seguro que quieres eliminar esta categoría?
Are you sure you would like to remove all products from your comparison?,¿Estás seguro que quieres descargar todos los productos del comparativo?
Are you sure you would like to remove this item from the compare products?,¿Estás seguro de que quieres eliminar este artículo del comparativo de productos?
Are you sure?,¿Estás seguro?
As low as:,Tan bajo como:
Assign,Asignar
Assign product link,Asignar enlace de producto
Assign product to category,Asignar categoría de producto
Assigned Products,Asignar productos
Associated Products,Productos asociados
Attrib. Set Name,Nombre de Conj. Atrib.
"Attribute ""%s"" is invalid.","Atributo ""%s"" no es valido."
"Attribute ""%s"" is required.","Se requiere atributo ""%s"" "
Attribute Information,Información de atributo
Attribute Model,Modelo de atributo
Attribute Name:,Nombre de atributo:
Attribute Set,Conjunto de atributo
Attribute Sets,Conjunto de atributos
Attribute add,Agregar atributo
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Código de atributo invalido. Por favor usa solo letras (a-z), números o guión bajo (_) in este campo, el primer caracter tiene que ser una letra. "
"Attribute group with the \/name/\"" name already exists""","El grupo de atributos con el nombre \/name/\"" name ya existe"""
Attribute remove,Eliminar atributo
Attribute with the same code already exists,Ya existe un atributo con el mismo código
Attributes,Atributos
Attrribute names can be specified per store.,Los nombres de atributos tiene que ser especificados por tienda.
Autogenerate,Autogenerar
Availability:,Disponibilidad:
Back,Volver
Backend Model,Modelo de Backend
Backend Table,Table de Backend
Backend Table Title,Título de tabla de Backend 
Backorders,Pedidos pendientes
Base Image Width,Ancho base de Imagen
Based On,Basado en 
Before Order Confirmation,Antes de la confirmación de pedido
Best Value,Mejor valor
Block after Info Column,Bloque después de columna de info
Bottom Block Options Wrapper,Bottom Block Options Wrapper
Bottom/Left,Abajo/Izquierda
Bottom/Right,Abajo/Derecha
Browse By,Navegar por
Bundle Items,Artículos en paquete
Buy %1$s,Compra %1$s
Buy %1$s for,Compra %1$s por
Buy %1$s for %2$s,Compra %1$s por %2$s
Buy %1$s for %2$s (%3$s incl. tax) each,Compra %1$s por cada %2$s (%3$s incl. imp) 
Buy %1$s for %2$s each,Compra %1$s por cada %2$s
Cache Lifetime (Seconds),Tiempo de validez del Caché (Segundos)
Cache refresh needed.,Se requiere refrescar caché
Can be Divided into Multiple Boxes for Shipping,Se puede dividir en varias cajas para el envío
Can be used only with catalog input type Dropdown,Sólo se puede utilizar con el tipo de entrada de catálogo desplegable
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Sólo se puede utilizar con el tipo de entrada de catálogo desplegable, Selección Múltiple y Precio"
Can\'t create image.,No se puede crear la imagen.
Cancel,Cancelar
Cannot create image.,No se puede crear la imagen.
Cannot create writeable directory '%s'.,No se puede crear permisos de escritura del directorio '% s'.
Cart Item Attribute,Atributo de artículo de carrito
Catalog,Catálogo
Catalog Category (Anchor),Catálogo de Categoría (ancla)
Catalog Category (Non-Anchor),Catálogo de Categoría (sin ancla)
Catalog Category (Without Subcategories),Catálogo Categoría (Sin subcategorías)
Catalog Category Link,Enlace a Catálogo de Categorías
Catalog New Products List,Catálogo de Listas de Nuevos Productos 
Catalog Price Scope,Alcance de Catálogo de Precio 
Catalog Product Compare List,Catálogo de Lista de Productos a Comparar.
Catalog Product Email to a Friend,Evíar Catálogo de Productos por correo electrónico a un amigo
Catalog Product Image Gallery Popup,Catálogo de Galería de Imagenes de Producto en ventana emergente
Catalog Product Link,Enlace de Catálogo de Productos
Catalog Product View (Any),Ver Catálogo de Productos (Cualquiera)
Catalog Product View (Configurable),Ver Catálogo de Productos (configurable)
Catalog Product View (Grouped),Ver Catálogo de Productos (Agrupados)
Catalog Product View (Simple),Ver Catálogo de Productos (Simple)
Catalog Product View (Virtual),Ver Catálogo de Productos (virtual)
Catalog Section,Sección de catálogo
Catalog Seo Sitemap (Category List),Catálogo Seo del Mapa del sitio(Lista de categoría)
Catalog Seo Sitemap (Category Tree),Catálogo Seo del Mapa del sitio (Categoría Árbol)
Catalog Seo Sitemap (Common),Catálogo Seo del Mapa del sitio (Común)
Catalog Seo Sitemap (Product List),Catálogo Seo del Mapa del sitio (lista de productos)
Catalog URL Rewrites,Catálogo de reescrituras de URL 
Catalog product custom option values API,Catálogo de productos con opciónes personalizadas API
Catalog product custom options API,Catálogo opciones personalizadas producto API
"Catalog, Search","Catálogo, Búsqueda"
Categories,Categorías
Categories Sitemap,Mapa del sitio de Categorías 
Category,Categorías
Category API,Categoría API
Category Data,Categoría de datos
Category Flat Data,Categoría de datos planos
Category Link Block Template,Categoría Enlace de plantilla de bloque.
Category Link Inline Template,Categoría Plantilla de enlace Inline
Category Products,Categoría Productos
