"%s and greater","%s y más"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d artículos(s)</strong> encontrados con este criterio de búsqueda"
"Advanced Search","Búsqueda Avanzada"
"Advanced Search Form","Forma de Búsqueda Avanzada"
"Advanced Search Result","Resultados de Búsqueda Avanzada"
"All","Todo"
"Applies for ""Like"" search type only.","Aplica para tipos de búsqueda ""Como""."
"Apply Layered Navigation if Search Results are Less Than","Aplicar Navegación en Capas si los Resultados de Búsqueda son Menores a"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Cambio de Atributo relacionado con Índice de Búsqueda. Por favor corre proceso <a href=""%s"">Regenerar Índice de Búsqueda</a>."
"Autogenerated Site Map","Mapa de Sitio Autogenerado"
"Catalog Advanced Search","Búsqueda Avanzada de Catálogo"
"Catalog Search","Búsqueda de Catálogo"
"Catalog Search Index","Índice de Búsqueda de Catálogo"
"Don't see what you're looking for?","¿No ves lo que buscas?"
"Enter ""0"" to enable layered navigation for any number of results.","Ingresa ""0"" para habilitar navegación en capas para cualquier número de resultados."
"Go","Ir"
"Go to Home Page","Ir a Página de Inicio"
"Grid","Matriz"
"Home","Inicio"
"List","Lista"
"Maximum Query Length","Largo Máximo de Búsqueda"
"Maximum Query Words Count","Conteo de Palabras Máximo"
"Maximum Search query length is %s. Your query was cut.","El largo máximo de búsqueda es %s. Tu búsqueda fue cortada."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Máximo de palabras es %1$s. Tu búsqueda fue cortada: %2$s."
"Minimal Query Length","Largo Mínimo de Búsqueda"
"Minimum Search query length is %s","Largo mínimo de Búsqueda es %s"
"Modify your search","Modifica tu búsqueda"
"No","No"
"No items were found using the following search criteria.","No se encontraron artículos con este criterio."
"Please specify at least one search term.","Por favor especifica al menos un término de búsqueda."
"Popular Search Terms","Términos de Búsqueda Populares"
"Quick Search Form","Forma de Búsqueda Rápida"
"Rebuild Catalog product fulltext search index","Reconstruir índice de búsqueda de catálogo"
"Relevance","Relevancia"
"Results","Resultados"
"Search","Búsqueda"
"Search Settings","Ajustes de Búsqueda"
"Search Terms","Términos de Búsqueda"
"Search Type","Tipo de Búsqueda"
"Search entire store here...","Buscar en toda la tienda..."
"Search results for '%s'","Resultados de búsqueda para '%s'"
"Search results for: '%s'","Resultados de búsqueda para: '%s'"
"Search:","Búsqueda:"
"Specified date is invalid.","Fecha especificada inválida."
"Subscribe to Feed","Suscribir a Feed"
"There are no search terms available.","No hay términos de búsqueda disponibles."
"Yes","Sí"
"Your search returns no results.","Tu búsqueda no regreso resultados."
"up to %s","hasta %s"
