%s was added to your shopping cart.,%s fue añadido exitosamente a tu carrito de compra.
%s was updated in your shopping cart.,%s se actualizó en tu carrito de compra.
(Excl. Tax),(Excl. Imp)
(Incl. Tax),(Incl. Imp)
* Required Fields,* Campos requeridos
Add New Address,Agregar nueva dirección
Add New Condition,Agregar nueva condición
Add coupon code for shopping cart,Agregar código de cupón al carrito de compra
Add gift messages to shopping cart,Agregar certificados de regalo al carrito de compra
Add product to shopping cart,Agregar producto al carrito de compra
Add product(s) to shopping cart,Agregar producto(s) al carrito de compra
Add to Cart,Agregar a carrito
Add to Compare,Agregar a comparar
Add to Wishlist,Agregar a lista de deseos
Additional Product Info,Información adicional de producto
Address,Dirección
Address %s of %s,Dirección %s de %s
After Adding a Product Redirect to Shopping Cart,Después de añadir un producto redireccionar al carrito de compra
Allow Guest Checkout,Permitir comprar como invitado
Already registered?,¿Ya estás registrado?
An error occurred in the process of payment,Ha ocurrido un error en el proceso de pago.
An error occurred while deleting this condition.,Ha ocurrido un error al intentar eliminar esta condición.
An error occurred while saving this condition.,Ha ocurrido un error al intentar guardar esta condición.
Apply,Aplicar
Apply Coupon,Aplicar cupón
Are you sure you want to leave this page? You will need to go through the checkout steps again.,¿Estás seguro de que quieres salir de esta página? Necesitarás realizar el proceso de compra nuevamente.
Are you sure you would like to remove this item from the shopping cart?,¿Estás seguro que deseas eliminar este artículo de tu carrito de compra?
Back,Volver
Back to Billing Information,Volver a información de cobranza
Back to Select Addresses,Volver a elección de dirección
Back to Shipping Information,Volver a información de envío
Back to Shopping Cart,Volver a carrito de compra
"Based on your selection, you may be interested in the following items:","Basadonos en tu elección, puede que estés interesado en los siguientes artículos:"
Billing Address,Dirección de cobranza
Billing Information,Información de cobranza
Billing Information - %s,Información de cobranza - %s
Can not remove the item.,No se puede descartar este artículo
Can not save item.,No se puede guardar el artículo
Cancel,Cancelar
Cancel Coupon,Cancelar cupón
Cannot add item to the shopping cart.,No se puede añadir artículos al carrito de compra.
Cannot add the item to shopping cart,No se puede añadir el artículo al carrito de compra.
Cannot add the item to shopping cart.,No se puede añadir el artículo al carrito de compra.
Cannot apply the coupon code.,No se puede aplicar el cupón.
