Collected Files Count,Conteo de archivos recolectados
Compilation,Compilación
Compilation State,Estado de compilación
Compilation error,Error de compilación
Compiled,Compilado
Compiled Scopes Count,Conteo de ambitos compilados
Compiler Status,Estado de compilador
Compiler include path is disabled.,include path de compilador está desactivado.
Compiler include path is enabled.,include path de compilador está activado.
"Directory ""%s"" must be writeable","Es necesario poder escribir en el directorio ""%s"" "
Disable,Desactivar
Disabled,Desactivado
Enable,Habilitar
Enabled,Deshabilitado
"File ""%s"" must be writeable","Es necesario poder escribir en el archivo ""%s"" "
Not Compiled,No compilado
Run Compilation Process,Iniciar proceso de compilación
Scopes Compilation Settings,Ajuste de ambito de compilación
System,Sistema
The compilation has completed.,Se completó la compilación
Tools,Herramientas
