"-- Please Select --","-- Please Select --"
"Add to Cart","Agregar al Carrito"
"Choose an Option...","Escoge una Opción..."
"Configurable Swatches","Configurable Swatches"
"Enabled","Enabled"
"General Settings","General Settings"
"Height","Altura"
"In Stock","En Existencia"
"Innermost dimensions, not including border, in pixels","Innermost dimensions, not including border, in pixels"
"Out of Stock","Agotado"
"Previous","Previo"
"Product Attribute to Use for Swatches in Product Listing","Product Attribute to Use for Swatches in Product Listing"
"Product Attributes to Show as Swatches in Product Detail","Product Attributes to Show as Swatches in Product Detail"
"Remove This Item","Eliminar Artículo"
"Swatch Dimensions in Layered Navigation","Swatch Dimensions in Layered Navigation"
"Swatch Dimensions in Product Listing","Swatch Dimensions in Product Listing"
"Swatch Dimensions on Product Detail Page","Swatch Dimensions on Product Detail Page"
"Width","Ancho"
