* Required Fields,*Campos Obligatorios
Comment,Comentario
Contact Form,Formulario de Contacto
Contact Information,Información de Contacto
Contact Us,Contactanos
Contact Us Form,Formulario para Contactarnos
Contacts,Contactos
Contacts Section,Sección de Contactos
Email,Correo Electrónico
Email Options,Opciones de Correo Electrónico
Email Sender,Remitente de correo electrónico.
Email Template,Plantilla de Correo Electrónico
Enable Contact Us,Habilitar Contactanos
Name,Nombre
Send Emails To,Envíar Correos Electrónicos a
Submit,Enviar
Telephone,Teléfono
"Unable to submit your request. Please, try again later","No pudimos enviar tu solicitud. Por favor, inténtalo de nuevo más tarde"
Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.,"Tu mensaje ha sido enviado, te responderemos a la mayor brevedad posible. Gracias por contactarnos."
