"%d Review(s)","%d Reseña(s)"
"%s Review(s)","%s Reseña(s)"
"(Posted on %s)","(Escrito en %s)"
"1 star","1 estrella"
"2 star","2 estrellas"
"2 stars","2 estrellas"
"3 star","3 estrellas"
"3 stars","3 estrellas"
"4 star","4 estrellas"
"4 stars","4 estrellas"
"5 star","5 estrellas"
"5 stars","5 estrellas"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Agregar Reseña"
"Add Your Review","Escribe tu Reseña"
"Administrator","Administrador"
"All Reviews","Todas las Reseñas"
"All Reviews of Customer `%s`","Todas las Reseñas del Cliente `%s`"
"All Reviews of Product `%s`","Todas las Reselas del Producto `%s`"
"Allow Guests to Write Reviews","Permitir a los invitados escribir reseñas"
"Approved","Aprobado"
"Are you sure you want to do this?","¿Deseas confirmar esta acción?"
"Are you sure?","Confirmar"
"Average Customer Rating","Calificación Promedio"
"Average Customer Rating:","Calificación Promedio:"
"Back","Regresar"
"Back to Main Product Info","Regresar a Info de Producto"
"Back to My Reviews","Regresar a Mis Reseñas"
"Back to Product Reviews","Regresar a Reseñas de Producto"
"Be the first to review this product","Escribe el primer comentario de este producto"
"Catalog Product Review View","Vista de Reseña de Producto de Catálogo"
"Catalog Product Reviews List","Lista de Reseña de Producto de Catálogo"
"Created On","Creado en"
"Customer","Cliente"
"Customer My Account Product Reviews","Reseñas de Producto"
"Customer My Account Review Details","Detalles de Reseñas"
"Customer Reviews","Reseñas de Cliente"
"Customers Reviews","Reseñas de Clientes"
"Delete","Borrar"
"Delete Review","Borrar Reseña"
"Detailed Rating","Detalle de Calificación"
"Edit Review '%s'","Editar Reseña '%s'"
"Guest","Invitado"
"How do you rate this product?","¿Cómo calificas a este producto?"
"ID","ID"
"Let us know your thoughts","Dínos tus comentarios"
"Manage Ratings","Administrar Calificaciones"
"My Product Reviews","Reseñas de Mi Producto"
"My Recent Reviews","Mis Reseñas Recientes"
"Name","Nombre"
"Name in Store","Nombre en Tienda"
"New Review","Nueva Reseña"
"Nickname","Apodo"
"Nickname can\'t be empty","El Apodo no puede estar en blanco"
"Not Approved","No Aprobado"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Solo los usuarios registrados pueden escribir reseñas. Por favor <a href=""%s"">haz login</a> or <a href=""%s"">regístrate</a>"
"Pending","Pendiente"
"Pending Reviews","Reseñas Pendientes"
"Pending Reviews of Customer `%s`","Reseñas Pendientes del Cliente `%s`"
"Please select a product","Por favor selecciona un producto"
"Please select one of each of the ratings above","Por favor selecciona una calificación de cada criterio"
"Posted By","Agregado Por"
"Price","Precio"
"Product","Producto"
"Product Name","Nombre de Producto"
"Product Rating","Calificación de Producto"
"Product Rating:","Calificación de Producto:"
"Product Review (submitted on %s):","Reseña de Producto (agregada en %s):"
"Product Reviews","Reselas de Producto"
"Product SKU","SKU de Producto"
"Products Reviews","Reselas de Producto"
"Qty","Cantidad"
"Rating:","Calificación:"
"Review","Reseña"
"Review (submitted on %s):","Reseña (agregada en %s):"
"Review Details","Detalles de Reseña"
"Review Form Fields Before","Verifica los Campos de la Reseña"
"Review by %s","Reseña escrita por %s"
"Review by <span>%s</span>","Reseña escrita por <span>%s</span>"
"Review can\'t be empty","La Reseña no puede estar vacía"
"Review summary can\'t be empty","El resumen de la Reseña no puede estar vacío"
"Reviews","Reseñas"
"Reviews and Ratings","Reseñas y Calificaciones"
"SKU","SKU"
"Save Review","Guardar Reseña"
"Status","Estatus"
"Submit Review","Enviar Reseña"
"Summary Rating","Resumen de Calificación"
"Summary of Review","Resumen de Reseña"
"Summary of Your Review","Resumen de tu Reseña"
"Title","Título"
"Type","Tipo"
"Unable to post the review.","No se pudo guardar tu reseña."
"Update Status","Actualizar Estatus"
"View All Reviews","Ver todas las Reseñas"
"View Details","Ver Detalles"
"Visible In","Visible en"
"Websites","Websites"
"What's your nickname?","¿Cuál es tu apodo?"
"Write Your Own Review","Escribe tu propia Reseña"
"You have submitted no reviews.","No has escrito reseñas."
"You're reviewing:","Estás comentando:"
"Your Rating:","Tu calificación:"
"Your Review (submitted on %s):","Tu comentario (escrito en %s):"
"Your review has been accepted for moderation.","Tu comentario fue aceptado para moderación."
"Enter your name","Escribe tu nombre"
"Enter your summary","Escribe tu resumen"
"Enter your review","Escribe tu reseña"
"View All","Ver Todos"
